careerjunction_za_courses,careerjunction_za_employer_names,careerjunction_za_future_jobtitles,careerjunction_za_historical_jobtitles,careerjunction_za_primary_jobtitle,careerjunction_za_recent_jobtitles,careerjunction_za_skills,num_skills,num_past_jobs
"['Btech: Food Technology', 'National Diploma: Food Technology', 'Senior Certificate']","[u'Cape Herb & Spice', u'Greys Marine', u'Heinz Foods', u'Swift Silliker', u'Zemcor']","['Food technologist', 'New product development', 'auditor', 'inspections']","['Marketer & Technical Liaison', 'Quality Assurance Manager Haccp Team Leader', 'New Product Developer Technologist', 'Food Technologist', 'Quality Controller']",892,"['Food Technologist', 'Product Specialist Microbiology']","['Microbiology', 'microsoft powerpoint', 'microsoft office', 'microsoft excel', 'microsoft project management', 'Microsoft word', 'Outlook', 'Internet explorer', 'Marketing/Sales', 'Quality Control', 'Quality Assurance', 'Research and development', 'Problem solving']",0.05485232067510548,0.2
"['B.Econ', 'Grade 12/Matric']","[u'Careerjunction', u'Gijima', u'Lateral Dynamics', u'Leisurebooks', u'Mixtelematics', u'Private', u'Return True']",[],"['Senior Developer', 'Senior Developer', 'Senior Developer', 'Senior Developer SNR Developer', 'Senior Developer']",879,"['Senior Developer', 'Senior Developer']","['MVC5', 'JQuery', 'C#', 'BootStrap', 'REST Services', 'EntityFrameWork 6', 'SQL Databse Development', 'SSRS', 'SSIS']",0.03797468354430379,0.2
"['Bsc in Computer Systems', 'Higher National Diploma in Information Technology', 'Senior Certificate']","[u'Bruce Records Studio', u'Crystal MAP']","['Web Developer', 'Application Developer', 'C# Developer']",[],981,['Junior Developer'],"['C# Developer', 'MYSQL', 'PHP', 'javascript', 'CSS3', 'HTML5', 'wordpress', 'AJAX', 'RDBMS', 'Magento', 'C++ Developer', 'JAVA Developer']",0.050632911392405056,0.0
['Advanced Diploma In Computer Science'],"[u'Dynamic Data', u'Exor Petroleum']",[],[],248,['Programmer Technician'],"['Programming', 'Technical Support']",0.008438818565400843,0.0
['Mobile develipment'],[u'MCA Consulting'],['Analyst'],[],37,[],"['Java', 'delphi', 'Excel', 'excel', 'Bloomberg']",0.02109704641350211,0.0
"['Btech', 'National Diploma in IT']","[u'Accenture', u'HSRC']","['Software Tester', 'Business Analyst', 'Developer']",[],1075,['Intern'],"['communication skills', 'Microsoft office', 'MVC', 'JavaScript', 'css', 'codeigniter', 'html', 'PHP', 'Microsoft excel', 'Photoshop', 'java']",0.04641350210970464,0.0
"['Architecting on AWS (Associate)', 'AWS Technical Essentials', 'National Diploma (Information Technology) - Incomplete', 'Standard Java Specialist Course', 'Fundamentals Of Ms Visual Basic 6', 'Mastering Web Application Development Using Ms Vi6', 'A+', 'Grade 10']","[u'Nu-Era Tool &amp; DIE', u'ICM International', u'Saon Group', u'Careerjunction', u'Ipulse Systems', u'Genox', u'Commuter Transport Engineering', u'Fastnet (Telkom)']","['Software Architect', 'Python Developer', 'Senior Python Developer']","['Senior Developer', 'Senior Developer', 'Developer', 'Developer', 'Web Development', 'System Administrator', 'Apprentice Toolmaker']",879,"['Senior Python Developer', 'Systems Developer']","['PHP', 'SQL', 'Javascript', 'Linux', 'Python', 'PostgreSQL', 'AWS', 'Embedded Linux', 'GIT', 'SOA', 'HA Proxy', 'Gerrit', 'Sentry', 'C', '.Net', 'AWS RDS', 'Java SE', 'Java ME', 'C#', 'MySQL', 'MS SQL Server', 'EC2']",0.09282700421940927,0.28
"['Honours Bachelor of Science in statistics', 'Bsc']","[u'Experian', u'Statistics South Africa', u'University of South Africa (UNISA)']","['Analyst', 'Data Analyst', 'Test Analyst', 'Test Management']","['Academic and Research Assistant', 'Assistant Statistical Officer']",692,"['Quality Assurance Test Analyst', 'Survey Statistician']","['Test Management', 'sas', 'Open Office', 'Microsoft Office', 'Project Management', 'SQL']",0.025316455696202528,0.08
"['Van Zyl And Pritchard Passed With A Symbol', 'B.Sc', 'Matric Exemption']","[u'Bull Computers', u'Comparex Africa', u'Liberty Life', u'The Empl Bureau of Africa']",[],['Computer Programmer'],988,"['Programmer', 'Programmer']","['Adabas', 'Debugging', 'Natural', 'jcl', 'Cobol', 'Unix']",0.025316455696202528,0.04
"['Technical Support', 'Matric']","[u'Old mutual', u'Secondary school']",['IT Support Assistant'],[],486,['Administrator PA'],"['Emails', 'reviews', 'files', 'Typing', 'Personally to adapt', 'Ambitious', 'Computer literacy']",0.02953586497890295,0.0
